City / Centre,Craft / Speciality,Category,GI status,Artisan hub / market,Artisan community,What it is,Tourism relevance,District,Source
Ajmer / Kishangarh,Kishangarh marble craft,Stone & Marble,No GI / unverified,Kishangarh marble mandi,Silawat & marble-carving artisans,"India's largest marble market; carved idols, inlay and marble artefacts",Wholesale-scale; workshop visits possible en route Jaipur-Ajmer,Ajmer,https://www.facebook.com/rajasthantourism/posts/a-proud-moment-for-rajasthans-rich-handicraft-heritage-as-the-iconic-jodhpur-moj/1500428972127724/
Ajmer / Kishangarh,Kishangarh Bani Thani miniature painting,Painting & Art,No GI / unverified,Kishangarh artist studios,Kishangarh painter families,"Kishangarh school miniature painting, famous for the stylised Bani Thani female figure",Collector art; reproductions widely sold to tourists,Ajmer,https://www.swantour.com/blogs/information-on-arts-and-crafts-of-rajasthan
Bagru (Jaipur),Bagru mud-resist (dabu) block print,Block Printing; Textile & Tie-dye,GI tagged,Bagru village printing yards,Chhipa community,"Natural-dye block printing using dabu mud-resist; earthy reds, indigo and black",Day-trip craft experience from Jaipur,Jaipur,https://itokri.com/blogs/craft-masala-by-itokri/exploring-the-gorgeous-sanganeri-block-print-art-that-amazed-the-world
Barmer,Ajrakh & Barmer block prints,Block Printing; Textile & Tie-dye,No GI / unverified,"Barmer printing units, Balotra dyeing belt",Chhipa & Khatri printers,Resist block printing in madder red and indigo; Barmer prints and Ajrakh are regional signatures,Balotra/Barmer textile trail; export-quality fabric,Barmer,https://ruralhandmade.com/blog/geographical-indications-and-the-traditional-crafts-of
Barmer,Barmer appliqué & mirror embroidery,Embroidery; Textile & Tie-dye,No GI / unverified,Barmer village SHG clusters,Rural women artisan groups,"Patchwork, appliqué and mirror-work on quilts, bags and wall hangings; Barmer appliqué is especially known",Sold at Barmer Thar Festival and craft haats,Barmer,https://www.swantour.com/blogs/information-on-arts-and-crafts-of-rajasthan
Barmer,Pattu weaving & khes blankets,Handloom Weaving,No GI / unverified,Barmer-Jaisalmer weaving villages,Meghwal weaver community,Hand-woven woollen pattu shawls and khes blankets suited to desert winters,Winter desert-tourism purchase,Barmer,https://ruralhandmade.com/blog/geographical-indications-and-the-traditional-crafts-of
Bharatpur,Bansi Paharpur red sandstone carving,Stone & Marble,No GI / unverified,Bansi Paharpur quarries and carving yards,Silawat / stone-carver artisans,"Pink-red sandstone quarried in Bayana tehsil, hand-carved into temple pillars, jaalis, idols and architectural panels",Same stone used in major temple projects - strong provenance story,Bharatpur (Bayana / Rupbas belt),https://m.indiamart.com/patel-stone-industries/bansi-paharpur-red.html
Bharatpur,Lacquered wood & local handloom of Deeg-Kaman belt,Wood & Furniture; Handloom Weaving,No GI / unverified,"Deeg, Kaman village workshops",Suthar & weaver households,Small-scale lacquer-turned wooden items and coarse cotton handloom weaving in villages around Deeg and Kaman,Add-on craft stop for Keoladeo Bird Sanctuary and Deeg Palace visitors; needs field verification,Bharatpur,https://www.swantour.com/blogs/information-on-arts-and-crafts-of-rajasthan
Bhilwara,Phad scroll painting,Painting & Art,GI tagged,"Joshi Kala Kunj / Chitrashala, Bhilwara; Shahpura","Joshi painter family (Shree Lal Joshi, Padma Shri; Kalyan Joshi, National Award)","700-year-old narrative scroll painting of Pabuji and Devnarayan legends; Pabuji phads run ~13 arm-lengths, Devnarayan phads nearly 30 feet",Live bhopa storytelling + painting demo is a ready-made cultural tourism product,Bhilwara / Shahpura,https://en.indian-art.ru/phad
Bhilwara,Bhilwara textile processing & hand-printed fabric,Textile & Tie-dye; Block Printing,No GI / unverified,"Bhilwara textile cluster, Gulabpura",Chhipa printers & mill-linked artisans,"Rajasthan's largest textile-processing city ('Textile City'); alongside mills, hand block printing and dyeing units continue in the district",Good contrast case: industrial textiles vs handmade craft authenticity,Bhilwara,https://rsisinternational.org/journals/ijriss/articles/nature-symbol-and-tradition-a-study-of-motif-vocabulary-in-balotra-block-prints-of-rajasthan
Bikaner,Usta Kala (sunehri munawwati naqqashi),Painting & Art; Leather & Footwear,GI tagged,"Usta artisan workshops, Bikaner old city",Usta family lineages,"400-year-old Persian-influenced gold-embossed painting on camel leather, wood, marble, glass and palace ceilings",Signature Bikaner craft; national-award artisans still take visitors,Bikaner,https://101reporters.com/article/art/GI_tag_is_no_quick_fix_for_Bikaner_Usta_Kalas_return_to_glory
Bikaner,"Camel leather craft (kuppi, lamps, bottles)",Leather & Footwear,No GI / unverified,Bikaner leather clusters,Usta & leather-working artisans,"Objects shaped from camel hide, often finished with Usta gold work and meenakari",Tied to camel-safari and Camel Festival tourism,Bikaner,https://en.wikipedia.org/wiki/Usta_art
Bikaner,Hand embroidery of Bikaner,Embroidery,GI tagged,Bikaner rural SHG clusters,Women artisan groups,Traditional Bikaner hand-embroidery given GI certification under a NABARD-supported project,"SHG-led, good for responsible-souvenir sourcing",Bikaner,https://testbook.com/question-answer/which-states-traditional-products-recently--68386a98120b7f22d0f29417
Bundi,Bundi school miniature painting,Painting & Art,No GI / unverified,"Bundi old city artist studios, Chitrashala (Garh Palace)",Hereditary Bundi painter families,"Distinct Rajasthani miniature school (from 1591 Ragamala onward) known for lush vegetation, wildlife, Ragini themes and mineral/vegetable pigments with silver and gold",Chitrashala murals in Bundi Palace are the anchor attraction for this craft trail,Bundi,https://www.insightsonindia.com/indian-heritage-culture/indian-paintings/rajasthani-school-of-painting/bundi-school-of-painting
Bundi,"Bundi bandhej, kota-doria linked weaving & lacquer bangles",Textile & Tie-dye; Handloom Weaving,No GI / unverified,"Sadar Bazaar, Bundi","Rangrez, weaver and Manihar households","Bundi shares the Hadoti textile belt with Kota - tie-dye, light cotton weaving and lac bangle work in local bazaars",Complements Kota Doria trail; needs field verification of active units,Bundi,https://en.wikipedia.org/wiki/Geographical_indications_in_India
Dholpur,Dholpur stone carving (Sarmathura sandstone),Stone & Marble,No GI / unverified,Sarmathura quarry belt and carving units,Stone-cutting and carving artisan families,"Widely exported 'Dholpur stone' - beige/red sandstone cut and carved into slabs, jaalis, fountains and temple elements",Industrial-scale craft; artisan carving units can be opened to visitors,Dholpur (Sarmathura),https://sandstonetemple.com/blog-red-sandstone-handicrafts-in-india/
Jaipur,Lakh ki chudiyan (lac bangles),Jewellery & Bangles,No GI / unverified,"Maniharon ka Rasta, Tripolia Bazaar",Manihar community,"Bangles made from natural lac resin, coloured and stone-studded; ~250-year-old craft, 20,000+ artisans, Rs 75-80 crore market",Classic live-demo craft for tourists; artisans sell direct in old city lanes,Jaipur,https://www.business-standard.com/industry/news/jaipur-s-lac-bangle-industry-shines-on-demand-worth-rs-75-80-crore-123101601020_1.html
Jaipur,Kaanch ki chudiyan / lac-work on glass bangles,Jewellery & Bangles,No GI / unverified,"Maniharon ka Rasta, Bapu Bazaar",Manihar community,Glass bangles decorated with lacquer and mirror work; Jaipur artisans now do fine lac work on Firozabad glass bangles,High-volume tourist souvenir; wide price range,Jaipur,https://www.business-standard.com/industry/news/jaipur-s-lac-bangle-industry-shines-on-demand-worth-rs-75-80-crore-123101601020_1.html
Jaipur,Blue Pottery of Jaipur,Pottery & Clay,GI tagged,"Neota, Kot Jewar, Sanganer road studios",Kumhar & traditional blue-pottery families,"Turquoise-blue glazed pottery of Turko-Persian origin, fired at low temperature using quartz dough instead of clay",Workshop visits and pottery-painting experiences are popular paid activities,Jaipur,https://ipindia.gov.in/frontend/pdf/gi/registered/Total_Registered_GI_details_of_GI_Application_in_India.pdf
Jaipur,Meenakari & kundan jewellery,Jewellery & Bangles; Metal Craft,No GI / unverified,"Johari Bazaar, Gopalji ka Rasta",Sonar / Meenakar families,Enamelling on gold/silver combined with kundan stone setting; Mughal-Rajput technique,Top-spend tourist purchase; also high counterfeiting risk,Jaipur,https://timesofindia.indiatimes.com/life-style/travel/10-things-to-buy-in-jaipur-a-complete-guide-to-buying-authentic-products-at-reasonable-prices/articleshow/125791805.cms
